canonical_id,canonical_nm,fs_type,is_derived,formula,description,비고
TOTAL_ASSETS,자산총계,BS,FALSE,,자산 총계,
TOTAL_EQUITY,자본총계,BS,FALSE,,자본 총계,
TOTAL_LIABILITIES,부채총계,BS,FALSE,,부채 총계,
CURRENT_ASSETS,유동자산,BS,FALSE,,유동 자산,
NON_CURRENT_ASSETS,비유동자산,BS,FALSE,,비유동 자산,
CURRENT_LIABILITIES,유동부채,BS,FALSE,,유동 부채,
INVENTORIES,재고자산,BS,FALSE,,재고 자산,
TRADE_RECEIVABLES,매출채권,BS,FALSE,,매출 채권,"커버리지가 낮아서, HTML 이나 XBRL 로 데이터 보충 및 추가 매핑이 필요함"
CASH_AND_EQUIVALENTS,현금및현금성자산,BS,FALSE,,현금 및 현금성자산,
PPE,유형자산,BS,FALSE,,유형자산,
INTANGIBLE_ASSETS,무형자산,BS,FALSE,,무형자산,
GOODWILL,영업권,BS,FALSE,,사업결합 등에서 인식한 영업권 장부가치,
TRADE_PAYABLES,매입채무,BS,FALSE,,매입채무,"커버리지가 낮아서, HTML 이나 XBRL 로 데이터 보충 및 추가 매핑이 필요함"
SHORT_TERM_DEBT,단기차입금/유동성장기부채,BS,FALSE,,단기차입금/유동성장기부채,매핑룰 재산정 필요(불필요한게 많이 들어간듯함)
LONG_TERM_DEBT,장기차입금/사채,BS,FALSE,,장기차입금/사채,
LEASE_LIABILITY,리스부채,BS,FALSE,,리스부채,"커버리지가 낮아서, HTML 이나 XBRL 로 데이터 보충 및 추가 매핑이 필요함"
SHORT_TERM_FINANCIAL_ASSETS,단기금융상품/단기투자자산,BS,FALSE,,단기금융상품/단기투자자산,
EAOP,지배주주지분(자본),BS,FALSE,,지배주주지분(자본),
NEAOP,비지배주주지분(자본),BS,FALSE,,비지배주주지분(자본),
RETAINED_EARNINGS,이익잉여금,BS,FALSE,,이익잉여금,
CONTRACT_ASSETS,계약자산,BS,FALSE,,계약자산,
CONTRACT_LIABILITIES,계약부채,BS,FALSE,,계약부채,
ADVANCES_FROM_CUSTOMERS,선수금,BS,FALSE,,선수금,
OTHER_RECEIVABLES,기타채권,BS,FALSE,,기타채권,
OTHER_PAYABLES,기타채무,BS,FALSE,,기타채무,
NON_CURRENT_LIABILITIES,비유동부채,BS,FALSE,,비유동부채,
TRADE_AND_OTHER_RECEIVABLES,매출채권및기타채권,BS,FALSE,,매출채권과 기타채권 합산,
TRADE_AND_OTHER_PAYABLES,매입채무및기타채무,BS,FALSE,,매입채무와 기타채무 합산,
ASSETS_HELD_FOR_SALE,매각예정비유동자산,BS,FALSE,,매각예정으로 분류된 비유동자산 또는 처분자산집단,BS 유동자산+비유동자산 검증식 후보에 포함
LIABILITIES_HELD_FOR_SALE,매각예정비유동부채,BS,FALSE,,매각예정으로 분류된 처분자산집단 관련 부채,BS 유동부채+비유동부채 검증식 후보에 포함
FINANCIAL_BUSINESS_ASSETS,금융업자산,BS,FALSE,,일반기업 내 금융업/금융부문 자산 subtotal,금융업자산이 자산총계 안에서 별도 표시되는 경우 후보식에 포함
FINANCIAL_BUSINESS_LIABILITIES,금융업부채,BS,FALSE,,일반기업 내 금융업/금융부문 부채 subtotal,금융업부채가 부채총계 안에서 별도 표시되는 경우 후보식에 포함
CFO,영업활동현금흐름,CF,FALSE,,영업활동현금흐름,
CFI,투자활동현금흐름,CF,FALSE,,투자활동현금흐름,
CFF,재무활동현금흐름,CF,FALSE,,재무활동현금흐름,
CAPEX_PPE,유형자산의 취득(지출),CF,FALSE,,유형자산의 취득(지출),
CAPEX_INTANG,무형자산의 취득,CF,FALSE,,무형자산의 취득,
DEPRECIATION_EXPENSE,감가상각비,CF,FALSE,,감가상각비,
AMORTIZATION,무형자산상각비,CF,FALSE,,무형자산상각비,
WC_CHANGE,운전자본변동,CF,FALSE,,운전자본변동,
INT_PAID,이자지급,CF,FALSE,,이자지급,
TAX_PAID,법인세지급,CF,FALSE,,법인세지급,
DIV_PAID,배당금 지급,CF,FALSE,,배당금지급,
DEBT_ISSUE,차입금/사채의 유입,CF,FALSE,,차입금/사채의 유입,
DEBT_REPAY,차입금/사채의 상환,CF,FALSE,,차입금/사채의 상환,
DEBT_NET_BORROWING,차입금/사채 순차입,CF,FALSE,,차입금/사채 차입과 상환의 순액,
EQ_ISSUE,유상증자/주식발행 유입,CF,FALSE,,유상증자/주식발행 유입,
BUYBACK,자기주식취득/소각,CF,FALSE,,자기주식취득/소각,
LEASE_REPAYMENT,리스부채의 상환,CF,FALSE,,리스부채의 상환,
PPE_DISPOSAL_PROCEEDS,유형자산 처분대금,CF,FALSE,,유형자산 처분대금,
INTANGIBLE_DISPOSAL_PROCEEDS,무형자산 처분대금,CF,FALSE,,무형자산 처분대금,
CF_CASH_CHANGE_BEFORE_FX,환율효과전 현금및현금성자산 증가감소,CF,FALSE,,환율변동효과 전 현금및현금성자산 증가감소,
FX_EFFECT_CASH,현금및현금성자산 환율변동효과,CF,FALSE,,현금및현금성자산에 대한 환율변동효과,
CF_CASH_BEGIN,기초 현금및현금성자산,CF,FALSE,,현금흐름표 기초 현금및현금성자산,
CF_CASH_END,기말 현금및현금성자산,CF,FALSE,,현금흐름표 기말 현금및현금성자산,
CF_CASH_CHANGE,현금및현금성자산 증가감소,CF,FALSE,,현금흐름표 현금및현금성자산 증가감소,
CF_TRANSLATION_DIFFERENCE,환율변동차이,CF,FALSE,,CFO+CFI+CFF와 환율효과 전 현금증가 사이의 환산/환율 차이 보정항목,CFO+CFI+CFF 검증 후보에 포함
SPECIAL_CASH_CHANGE,특수 현금및현금성자산 변동,CF,FALSE,,연결범위 변동/매각예정/처분자산집단 등으로 인한 현금및현금성자산 변동,기초+증감=기말 후보식에 포함
REVENUE,매출액(영업수익),IS,FALSE,,매출액(영업수익),
COGS,매출원가,IS,FALSE,,매출원가,
GROSS_PROFIT,매출총이익,IS,FALSE,,매출총이익,
SGNA,판매비와관리비,IS,FALSE,,판매비와관리비,
RND,연구개발비,IS,FALSE,,연구개발비,*아직 매핑안됨
DNA_IS,감가상각비,IS,FALSE,,감가상각비,
OPERATING_INCOME,영업이익,IS,FALSE,,영업이익,
NET_INCOME,당기순이익,IS,FALSE,,당기순이익,
NET_INCOME_PARENT,지배주주순이익,IS,FALSE,,지배주주순이익,
TAX_EXPENSE,법인세비용,IS,FALSE,,법인세비용,
PBT,법인세비용차감전순이익,IS,FALSE,,법인세비용차감전순이익,
EBITDA,상각전영업이익,IS,FALSE,,상각전영업이익,
NET_INCOME_NCI,비지배지분순이익,IS,FALSE,,비지배지분 귀속 당기순이익,
BASIC_EPS,기본주당이익,IS,FALSE,,보통주 기본 EPS. 정규화 금액은 항상 원/주 단위,
DILUTED_EPS,희석주당이익,IS,FALSE,,희석 EPS. 정규화 금액은 항상 원/주 단위,
OTHER_COMPREHENSIVE_INCOME,기타포괄손익,IS,FALSE,,기타포괄손익,
TOTAL_COMPREHENSIVE_INCOME,당기총포괄손익,IS,FALSE,,당기 총포괄손익,
COMPREHENSIVE_INCOME_PARENT,지배주주총포괄이익,IS,FALSE,,지배주주 귀속 총포괄이익,
COMPREHENSIVE_INCOME_NCI,비지배지분총포괄이익,IS,FALSE,,비지배지분 귀속 총포괄이익,
DISCONTINUED_OPERATIONS_INCOME,중단영업손익,IS,FALSE,,중단영업이익(손실),
CONTINUING_OPERATIONS_INCOME,계속영업손익,IS,FALSE,,계속영업이익(손실),
BAD_DEBT_EXPENSE,대손상각비,IS,FALSE,,대손상각비/매출채권 손상차손 등 별도 영업비용,영업이익 rollup에서 차감
BAD_DEBT_REVERSAL,대손상각비환입,IS,FALSE,,대손상각비 환입/손상차손 환입 등 별도 영업수익성 차감비용 환입,영업이익 rollup에서 가산
LOGISTICS_COST,물류원가,IS,FALSE,,물류원가/물류비가 매출총이익 이후 별도 표시되는 영업비용,영업이익 rollup에서 차감
